Label,Time,XPos,YPos,ZPos,XRot,YRot,ZRot
Head,4.44,-0.02089702,1.734354,-7.906728,356.562,47.45966,354.5597
Head,4.68,-0.02260857,1.732924,-7.904076,357.628,47.91329,355.8987
Head,4.92,-0.01849756,1.732954,-7.90592,357.7394,50.1578,355.9804
Head,5.14,-0.01323266,1.735421,-7.919331,356.0421,59.59594,355.4895
Head,5.36,-0.01339843,1.739903,-7.92747,353.4133,63.57093,355.0879
Head,5.6,-0.01346671,1.741075,-7.931117,352.7214,63.93801,354.6762
Head,5.82,-0.01320715,1.742697,-7.927109,352.1304,63.41547,355.2632
Head,6.06,-0.01192507,1.74295,-7.9222,352.2104,62.50176,356.2731
Head,6.28,-0.008689296,1.742376,-7.924959,352.3744,64.97551,356.338
Head,6.52,-0.005290444,1.742914,-7.927869,352.3808,65.70919,355.9087
Head,6.74,-0.004867185,1.743243,-7.929204,352.8532,64.14058,356.2833
Head,6.98,-0.02314146,1.740041,-7.91008,356.5842,43.62659,358.4017
Head,7.2,-0.023938,1.745662,-7.911586,355.0189,36.79573,357.1448
Head,7.44,-0.01293568,1.749954,-7.922235,352.624,36.16026,353.9961
Head,7.66,-0.01214858,1.751264,-7.916241,352.0676,29.93295,353.1941
Head,7.9,-0.01262624,1.750456,-7.909086,352.9416,27.25886,353.6693
Head,8.139999,-0.004046094,1.752822,-7.921705,351.5373,34.70131,352.5841
Head,8.36,0.002222802,1.760768,-7.953736,345.8386,45.9202,349.9495
Head,8.58,-0.0033172,1.768446,-7.977997,338.9056,47.32813,348.3593
Head,8.82,-0.008230399,1.770083,-7.993992,335.7453,48.39061,347.1917
Head,9.04,-0.01181832,1.770251,-7.999862,334.4537,48.63377,346.7191
Head,9.28,-0.0146351,1.767796,-7.996161,335.8523,47.48208,348.3333
Head,9.5,-0.00129354,1.773159,-7.977458,336.6951,48.11202,348.421
Head,9.74,0.01842058,1.767134,-7.961657,342.0001,47.6245,348.5473
Head,9.96,0.02057453,1.756888,-7.969531,345.6113,48.16949,347.5175
Head,10.18,0.02543862,1.759455,-7.969638,346.0458,49.52698,346.6907
Head,10.42,0.03604144,1.763711,-7.955126,346.0106,49.33509,345.642
Head,10.66,0.0226944,1.763462,-7.969181,342.9249,46.86549,345.0749
Head,10.88,0.0003547445,1.765125,-7.992239,338.6618,47.06048,345.5972
Head,11.1,-0.003323819,1.770637,-7.98959,336.6545,47.58413,346.4642
Head,11.34,0.007817909,1.769603,-7.972789,340.2963,47.2357,347.0659
Head,11.56,0.00912676,1.758,-7.97486,345.8474,46.31953,344.6157
Head,11.8,0.007139785,1.759904,-7.981219,344.1383,47.99693,343.4232
Head,12.02,0.00877578,1.760535,-7.978124,344.1711,47.37485,343.6942
Head,12.26,0.008148151,1.760476,-7.977504,344.1498,46.75139,343.8561
Head,12.48,0.007650396,1.761018,-7.978708,343.5701,47.12133,343.7853
Head,12.72,0.007431991,1.761339,-7.978613,343.3785,47.02957,343.8673
Head,12.94,0.007035065,1.761238,-7.978642,343.4257,46.99805,344.0078
Head,13.16,0.006514492,1.761525,-7.978362,343.2236,46.85817,344.1499
Head,13.4,0.0074098,1.761156,-7.97829,343.4929,47.04128,344.0971
Head,13.62,0.007467281,1.761382,-7.979029,343.3595,47.19042,344.0056
Head,13.86,0.007210139,1.761654,-7.979139,343.2738,47.23182,344.0364
Head,14.08,0.007585822,1.761579,-7.97927,343.3602,47.36249,344.004
Head,14.32,0.00676199,1.761545,-7.980215,343.141,48.21633,343.9475
Head,14.54,0.009054106,1.761422,-7.981846,343.2871,50.41905,343.815
Head,14.78,0.01536547,1.759254,-7.985122,344.7132,51.79832,343.1671
Head,15,0.01716265,1.75925,-7.987017,344.7463,52.1351,342.7691
Head,15.24,0.01145409,1.761708,-7.978768,343.6053,46.42804,344.4101
Head,15.46,0.0111166,1.760027,-7.973172,344.3449,43.10407,345.4873
Head,15.7,0.03359354,1.759278,-7.976865,345.0381,44.24349,342.8252
Head,15.92,0.04707375,1.759877,-7.980556,344.7392,42.64628,342.2894
Head,16.14,0.05548831,1.761625,-7.982592,343.9773,40.3434,342.1823
Head,16.38,0.05892931,1.759998,-7.988106,344.853,40.19852,341.4275
Head,16.6,0.05353052,1.758666,-7.989884,345.7484,42.01027,341.6239
Head,16.84,0.04763999,1.761358,-7.985313,345.0157,42.15906,343.2085
Head,17.06,0.04916602,1.758918,-7.985154,346.4825,43.17963,343.361
Head,17.3,0.04922626,1.758649,-7.984756,346.721,42.9856,343.4659
Head,17.52,0.04989786,1.75864,-7.985247,346.711,43.18892,343.2387
Head,17.74,0.04993089,1.758429,-7.98591,346.7225,43.15481,343.1522
Head,17.98,0.05013234,1.75877,-7.986276,346.6371,43.22386,343.2541
Head,18.2,0.04939087,1.758727,-7.985384,346.7121,43.09827,343.4449
Head,18.44,0.04933616,1.758744,-7.98532,346.7306,43.20012,343.2955
Head,18.66,0.04997866,1.758955,-7.985662,346.61,43.42491,343.3096
Head,18.9,0.05033582,1.758156,-7.984782,347.0891,43.38547,343.2955
Head,19.12,0.05050183,1.758255,-7.985115,346.9814,43.35399,343.2689
Head,19.36,0.05015312,1.758318,-7.985391,346.8602,43.46991,343.2568
Head,19.58,0.05020465,1.758157,-7.985433,346.874,43.49865,343.1859
Head,19.82,0.05017461,1.758204,-7.984931,346.9731,43.39503,343.3102
Head,20.04,0.05060192,1.758123,-7.985226,346.9883,43.42822,343.1842
Head,20.26,0.05065826,1.758014,-7.985137,347.0568,43.62429,343.177
Head,20.48,0.0506526,1.757916,-7.98507,347.0784,43.52081,343.1723
Head,20.7,0.0504789,1.758225,-7.985199,346.9912,43.64883,343.19
Head,20.92,0.05016442,1.758318,-7.985244,346.8896,43.61444,343.1798
Head,21.16,0.05073284,1.758573,-7.985777,346.6791,44.24238,343.1657
Head,21.38,0.05300225,1.758456,-7.990068,346.569,46.75893,342.8973
Head,21.6,0.05245,1.758567,-7.991159,346.3822,46.74409,342.6989
Head,21.82,0.05193678,1.759011,-7.990857,346.1776,46.59757,342.7027
Head,22.06,0.05185425,1.759012,-7.991178,346.1766,46.67811,342.6216
Head,22.28,0.05173601,1.759327,-7.991361,346.077,46.65638,342.6013
Head,22.52,0.05184248,1.759124,-7.990991,346.1822,46.58746,342.6432
Head,22.74,0.05194333,1.758998,-7.9909,346.2626,46.52254,342.6339
Head,22.98,0.05192759,1.758957,-7.99102,346.2436,46.5521,342.6544
Head,23.2,0.05183419,1.759127,-7.991065,346.1799,46.55095,342.591
Head,23.44,0.05195934,1.759104,-7.990592,346.2165,46.47868,342.6783
Head,23.66,0.04719112,1.760842,-7.985006,345.1361,41.926,343.4519
Head,23.88,0.03994827,1.763841,-7.97646,343.7743,35.40507,345.5511
Head,24.12,0.03925934,1.763893,-7.975693,343.8086,35.20176,345.568
Head,24.34,0.03734547,1.7644,-7.975931,343.4839,35.25201,345.8538
Head,24.58,0.03726606,1.76438,-7.975964,343.4691,35.26081,345.9524
Head,24.8,0.03790898,1.764207,-7.976089,343.5205,35.47475,345.8193
Head,25.04,0.03815524,1.76415,-7.976141,343.5626,35.59981,345.8062
Head,25.26,0.03822551,1.764246,-7.976998,343.3864,35.93333,345.8465
Head,25.5,0.03816571,1.764437,-7.977757,343.2243,36.12567,345.8286
Head,25.72,0.03830956,1.764498,-7.978241,343.1781,36.19437,345.8354
Head,25.96,0.03880965,1.76451,-7.978561,343.1649,36.29203,345.7542
Head,26.18,0.03863869,1.764737,-7.978466,343.0432,36.27506,345.9084
Head,26.42,0.03918,1.764678,-7.97858,343.0871,36.52702,345.7902
Head,26.64,0.03882217,1.764722,-7.97824,343.0593,36.40256,345.9358
Head,26.88,0.03879082,1.764502,-7.978065,343.1013,36.32696,345.927
Head,27.1,0.03869037,1.764864,-7.977371,343.0743,36.24937,346.2576
Head,27.32,0.04114184,1.764271,-7.96997,344.4305,36.07019,347.4994
Head,27.56,0.05061601,1.750698,-7.929589,354.9492,33.11001,350.8414
Head,27.78,0.07403116,1.714201,-7.868286,14.66532,28.74521,352.3282
Head,28.02,0.09441537,1.690243,-7.813858,27.32205,27.55763,357.93
Head,28.24,0.1029356,1.678804,-7.782171,35.17218,23.46288,359.8
Head,28.48,0.1158323,1.672709,-7.761795,38.37986,25.35968,3.829315
Head,28.7,0.1249852,1.669436,-7.75364,40.15893,26.06898,3.562083
Head,28.92,0.1270085,1.669652,-7.750185,40.32061,25.60697,3.288634
Head,29.14,0.1240637,1.671071,-7.747115,39.837,24.13813,3.289152
Head,29.38,0.1169053,1.67896,-7.740571,37.09,20.1132,2.051619
Head,29.62,0.09935889,1.704028,-7.73157,26.39616,11.52339,0.6670167
Head,29.86,0.08915855,1.711316,-7.731856,24.15595,9.167714,1.511424
Head,30.08,0.08274713,1.712857,-7.735443,23.59095,8.312531,2.258974
