Label,Time,XPos,YPos,ZPos,XRot,YRot,ZRot
LHand,4.36,-0.03396322,1.180856,-7.849472,298.3234,17.77546,279.9162
LHand,4.58,-0.03539009,1.180422,-7.849619,298.8853,17.69377,280.7087
LHand,4.82,-0.03079402,1.182189,-7.851179,298.8412,15.28343,280.5267
LHand,5.06,-0.04374392,1.407514,-7.800918,286.3463,268.4817,26.89807
LHand,5.3,-0.0373885,1.508528,-7.793863,334.4138,186.7087,87.76185
LHand,5.52,-0.0463755,1.434847,-7.759243,300.7863,207.5553,89.15077
LHand,5.76,-0.03420846,1.45416,-7.742026,299.5224,231.57,65.04056
LHand,5.98,-0.03773432,1.442393,-7.744591,296.3424,228.4185,69.00744
LHand,6.22,-0.03884155,1.446735,-7.7465,297.9047,230.0338,68.65807
LHand,6.44,-0.03457736,1.434555,-7.756879,297.5645,230.3709,69.93074
LHand,6.68,-0.06710782,1.451728,-7.75809,300.6302,203.722,90.98466
LHand,6.9,-0.1148349,1.451846,-7.767558,306.1235,206.3755,88.66582
LHand,7.14,-0.1581489,1.458935,-7.787145,302.0397,199.9086,85.48092
LHand,7.38,-0.1611142,1.460493,-7.786534,306.1469,182.077,98.70821
LHand,7.6,-0.1582676,1.467619,-7.787808,303.7227,173.4574,114.5842
LHand,7.84,-0.1694563,1.465441,-7.758287,301.7478,190.6968,106.1422
LHand,8.059999,-0.1297594,1.502604,-7.704628,309.6229,186.1676,109.0811
LHand,8.3,-0.06887333,1.586935,-7.539492,310.3576,168.6307,101.0355
LHand,8.52,-0.04774579,1.616925,-7.501706,303.0417,163.2538,110.8579
LHand,8.74,-0.05655672,1.591454,-7.534361,318.1174,174.6722,95.43411
LHand,8.98,-0.04422472,1.611068,-7.561769,321.3337,194.0596,79.28175
LHand,9.2,-0.03173505,1.59645,-7.592868,315.6252,197.0356,81.1763
LHand,9.44,-0.02841393,1.477005,-7.661444,310.0402,216.2648,81.68751
LHand,9.679999,-0.04390394,1.385393,-7.720257,292.6282,234.5748,63.92546
LHand,9.9,-0.04807794,1.363314,-7.728681,289.7308,239.9053,51.66989
LHand,10.12,-0.06317052,1.348976,-7.738928,289.9134,245.005,47.90795
LHand,10.36,-0.07598194,1.340748,-7.743297,289.7595,241.4829,47.69114
LHand,10.6,-0.07154354,1.341648,-7.746426,289.1692,239.767,49.96753
LHand,10.82,-0.07426421,1.337906,-7.745042,287.9174,240.2951,49.33366
LHand,11.06,-0.07333087,1.34234,-7.742508,286.9859,238.857,49.77112
LHand,11.28,-0.06044481,1.380222,-7.705522,288.3176,218.7058,67.80923
LHand,11.52,-0.001252767,1.467856,-7.543995,300.2731,170.5402,108.905
LHand,11.74,0.06132759,1.501261,-7.492206,296.1493,162.7932,128.5309
Weight grabbed
LHand,11.98,0.08122866,1.525588,-7.472098,293.2934,218.5427,74.40092
LHand,12.2,0.09105611,1.66293,-7.42556,314.9036,177.0198,113.0371
LHand,12.44,0.1163208,1.554969,-7.388235,305.1505,174.6739,111.557
LHand,12.66,0.1084235,1.654464,-7.39221,299.6005,176.9611,111.2959
LHand,12.9,0.101023,1.604269,-7.398865,293.3526,173.513,122.4132
LHand,13.12,0.07173537,1.612003,-7.389831,293.2973,184.2412,114.5454
LHand,13.36,0.03449356,1.609832,-7.387866,287.9112,202.6879,108.385
LHand,13.58,0.01099923,1.60393,-7.393088,289.0098,203.1098,104.428
LHand,13.8,-0.0009128675,1.60762,-7.396115,289.9056,198.0919,107.5117
LHand,14.04,0.0001990832,1.609879,-7.397766,290.2624,200.5916,105.0882
LHand,14.26,0.003589854,1.620429,-7.401487,290.9848,214.8336,91.89766
LHand,14.5,-0.0004356094,1.65405,-7.399858,295.9364,235.925,76.23413
LHand,14.72,-0.003233716,1.656272,-7.4027,295.0849,236.9504,76.68698
LHand,14.96,-0.002953488,1.647742,-7.405752,294.6246,228.2965,84.3762
LHand,15.18,-0.005377106,1.643866,-7.403663,294.3176,222.5639,89.50571
LHand,15.42,-0.008170377,1.639961,-7.400832,294.2533,225.8288,86.47561
LHand,15.64,-0.01298565,1.636424,-7.395998,294.1488,227.1126,84.27573
LHand,15.88,-0.01194336,1.62599,-7.399065,293.7457,216.751,92.23827
LHand,16.1,-0.00601162,1.617332,-7.398058,293.6979,223.0724,86.2142
LHand,16.32,-0.008531056,1.594548,-7.40117,292.3108,202.5025,106.5312
LHand,16.56,-0.007769603,1.551982,-7.406508,292.7615,185.6769,117.8552
LHand,16.78,-0.006415129,1.544205,-7.41199,290.9496,192.0661,108.6458
LHand,17.02,0.0008378066,1.57067,-7.422462,293.1375,198.8952,102.355
LHand,17.24,0.002128549,1.574391,-7.42417,291.0577,210.3466,90.74384
LHand,17.48,0.005829133,1.573205,-7.423336,291.0718,204.2983,97.50504
LHand,17.7,0.008888759,1.572154,-7.421672,291.0374,204.6669,96.78734
LHand,17.94,-0.001495376,1.575207,-7.421528,291.8712,202.7974,97.17213
LHand,18.16,-0.1097539,1.605119,-7.448301,308.166,228.4133,71.58456
LHand,18.4,-0.2363517,1.634704,-7.536753,342.3755,237.0541,63.62304
LHand,18.62,-0.1692207,1.619492,-7.514582,323.4316,238.4299,63.95616
LHand,18.86,-0.02414551,1.540167,-7.489591,299.4154,221.6274,87.38042
