Label,Time,XPos,YPos,ZPos,XRot,YRot,ZRot
RHand,4.36,0.1049377,1.183149,-7.860874,50.67888,190.6355,125.0478
RHand,4.58,0.1047427,1.184578,-7.860176,50.29775,189.3611,125.4906
RHand,4.82,0.1205795,1.192313,-7.844993,50.75905,187.0605,125.6978
RHand,5.06,0.2104596,1.549755,-7.822453,27.12133,73.75772,26.36713
RHand,5.3,0.1748315,1.486759,-7.848807,19.64193,25.86416,242.3885
RHand,5.52,0.183458,1.407182,-7.811035,58.0451,314.101,223.2295
RHand,5.76,0.2045298,1.4319,-7.797545,52.41255,312.9118,225.0148
RHand,5.98,0.2048219,1.418912,-7.797986,52.53806,307.5035,221.1557
RHand,6.22,0.2073521,1.42307,-7.801022,49.95448,306.2089,221.1344
RHand,6.44,0.2064916,1.414113,-7.784419,39.23879,290.1962,203.2287
RHand,6.68,0.2042843,1.411134,-7.673274,17.19035,267.12,178.8619
RHand,6.9,0.1966031,1.53347,-7.488071,1.338296,265.7562,175.096
RHand,7.14,0.176919,1.754766,-7.372538,356.888,261.9774,165.841
RHand,7.38,0.1093992,1.73774,-7.447229,42.69013,315.7651,236.3142
Weight grabbed
RHand,7.6,0.189065,1.639448,-7.407266,5.624907,258.288,177.06
Weight dropped
Weight grabbed
RHand,7.84,0.1735694,1.731726,-7.423713,16.70679,267.1186,195.5436
RHand,8.059999,0.1594718,1.691252,-7.453188,53.73172,310.9639,248.3935
RHand,8.3,0.1454308,1.695938,-7.478876,57.90176,313.9789,255.8473
RHand,8.52,0.1731466,1.715415,-7.492037,53.55354,318.8836,263.0571
RHand,8.74,0.2479629,1.76173,-7.494657,62.02549,313.1141,243.0938
RHand,8.98,0.2693027,1.787211,-7.511442,57.83371,315.4444,239.3494
RHand,9.2,0.2719573,1.810759,-7.49663,55.36894,296.521,211.5885
RHand,9.44,0.269815,1.770564,-7.502748,66.20451,318.8477,245.1883
RHand,9.679999,0.2592965,1.721686,-7.498795,65.11832,308.9386,242.727
RHand,9.9,0.2501278,1.763583,-7.503114,54.1931,288.1956,216.5999
RHand,10.12,0.2419682,1.646067,-7.490569,60.6469,287.9113,228.8761
RHand,10.36,0.2435722,1.659854,-7.501419,59.5218,288.0759,228.3951
RHand,10.6,0.2249102,1.513121,-7.520984,51.74827,254.9376,208.6613
RHand,10.82,0.2297849,1.55631,-7.507981,56.78489,278.268,228.9748
RHand,11.06,0.2107618,1.483347,-7.522038,43.76653,273.7128,230.6357
RHand,11.28,0.2149437,1.532128,-7.513849,41.42309,273.4876,230.6474
Weight dropped
RHand,11.52,0.2479627,1.59069,-7.565563,44.67477,269.7168,237.9504
RHand,11.74,0.2938725,1.496787,-7.713371,26.11588,268.9697,212.6307
RHand,11.98,0.2657554,1.394935,-7.798788,21.69304,250.0711,195.0251
RHand,12.2,0.2676285,1.395193,-7.771064,24.51839,246.5618,196.1687
RHand,12.44,0.2506512,1.382169,-7.776731,17.84521,248.8605,196.5204
RHand,12.66,0.2532261,1.377774,-7.782554,18.19794,245.6482,195.7992
RHand,12.9,0.2329473,1.360222,-7.770913,13.23771,244.7795,198.3401
RHand,13.12,0.2234812,1.365819,-7.7557,13.64628,245.1486,201.4282
RHand,13.36,0.2001266,1.364404,-7.744293,11.35782,243.7779,205.2708
RHand,13.58,0.1821298,1.366349,-7.738375,11.79563,243.9373,207.4088
RHand,13.8,0.1775888,1.362357,-7.73248,8.25146,244.4388,208.4454
RHand,14.04,0.1783667,1.362844,-7.734006,7.754133,244.9118,207.2384
RHand,14.26,0.180066,1.362461,-7.738852,4.210042,241.8858,206.4498
RHand,14.5,0.1812388,1.355416,-7.740003,357.8501,236.8068,206.4497
RHand,14.72,0.1822641,1.347927,-7.741211,356.8506,238.2843,205.8294
RHand,14.96,0.18194,1.346162,-7.743172,358.505,237.9985,204.4993
RHand,15.18,0.1788249,1.342038,-7.74541,355.2381,237.0847,204.263
RHand,15.42,0.1764342,1.338548,-7.744264,352.8549,237.7488,204.6359
RHand,15.64,0.1757759,1.337512,-7.741966,350.9688,237.1255,204.5858
RHand,15.88,0.1741692,1.336816,-7.74125,350.6852,237.3299,204.1201
RHand,16.1,0.1745281,1.336733,-7.742184,350.2989,237.803,204.1121
RHand,16.32,0.1648556,1.334673,-7.757627,351.2866,240.616,204.7606
RHand,16.56,0.1538744,1.3319,-7.776869,350.1759,236.0269,208.3426
RHand,16.78,0.1528868,1.321691,-7.782159,342.8172,236.0689,209.2693
RHand,17.02,0.1492301,1.323193,-7.783652,341.8155,235.1058,210.7894
RHand,17.24,0.1463918,1.325121,-7.783306,341.5872,236.9436,211.1963
RHand,17.48,0.1473751,1.316884,-7.78689,336.6533,235.2893,211.799
RHand,17.7,0.147714,1.320514,-7.785374,336.6356,236.4099,210.4764
RHand,17.94,0.1524607,1.311525,-7.785096,333.5509,233.7756,210.0981
RHand,18.16,0.1543688,1.312937,-7.786307,332.4279,235.0102,209.3007
RHand,18.4,0.1660115,1.308484,-7.79035,332.8039,234.5751,208.4
RHand,18.62,0.157213,1.304267,-7.775966,333.4259,235.6597,211.8458
RHand,18.86,0.1578505,1.312182,-7.782906,329.1156,236.0191,208.5759
RHand,19.08,0.203683,1.357258,-7.7406,325.8553,240.461,195.6786
RHand,19.3,0.1845391,1.500283,-7.641747,319.4671,275.3586,172.8633
Weight grabbed
RHand,19.54,0.1196138,1.55487,-7.572825,316.5746,266.3801,191.5966
RHand,19.76,0.2264377,1.630163,-7.545197,312.6416,257.4143,190.9688
RHand,20,0.2880524,1.670432,-7.501375,326.2808,257.1915,175.4445
